no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
1.122,41700-52S01-000,"ABSORBER ASSY,REAR SHOCK",Sedang,Tinggi,Murah,Critical,laris
1.123,39950-73R00-000,"ANTENNA ASSY,GPS",Sedang,Tinggi,Murah,Slow,laris
1.124,75401-77R01-000,"BOARD ASSY,LUGGAGE FLOOR UPPER",Dikit,Rendah,Mahal,Slow,tidak laris
1.125,78142-78R02-5PK,"CAP,ROOF MOLDING FR,R(BLACK)",Sedang,Tinggi,Murah,Slow,laris
1.126,78152-78R02-5PK,"CAP,ROOF MOLDING FR,L (BLACK)",Sedang,Rendah,Murah,Slow,laris
1.127,89360-73R50-000,"BELT,TANK FIXER,R",Sedang,Tinggi,Murah,Slow,laris
1.128,89370-73R50-000,"BELT,TANK FIXER,L",Sedang,Tinggi,Murah,Slow,laris
1.129,11610-57L02-000,"MOUNTING,ENG,R",Dikit,Rendah,Mahal,Critical,laris
1.13,11620-57L00-000,"MOUNTING,ENG,L",Dikit,Rendah,Mahal,Critical,laris
1.131,11710-57L10-000,"MOUNTING,ENG RR",Dikit,Rendah,Mahal,Critical,laris
1.132,11720-57L10-000,"MOUNTING,ENG FR",Dikit,Rendah,Mahal,Critical,laris
1.133,55800-68L22-000,PAD SET,Sedang,Tinggi,Mahal,Fast,laris
1.134,39106-86T00-000,"CABLE,USB",Banyak,Tinggi,Murah,Fast,laris
1.135,84510-78R04-000,"GLASS,WINDSHIELD",Dikit,Rendah,Mahal,Slow,tidak laris
1.136,09482M00651-000,"PLUG,SPARK(NGK,ILZKR6F11)",Banyak,Tinggi,Murah,Fast,laris
1.137,20009-76T10-000,"TRANSMISSION ASSY, AUTOMATIC",Dikit,Rendah,Mahal,Critical,laris
1.138,17521-81P00-000,"BELT, WATER PUMP",Banyak,Tinggi,Murah,Fast,laris
1.139,84051M66R03-000,"GLASS,WINDSHIELD",Sedang,Tinggi,Mahal,Slow,laris
1.14,84501-77R02-000,"GLASS,FR DR WINDOW,R",Dikit,Rendah,Mahal,Slow,tidak laris
1.141,84502-77R02-000,"GLASS,FR DR WINDOW,L",Dikit,Rendah,Mahal,Slow,tidak laris
1.142,21000-57LV2-000,"T/M ASSY,AUTOMATIC",Dikit,Rendah,Mahal,Critical,laris
1.143,83810-77A00-000,"WEATHERSTRIP,FR DR OUT,R",Dikit,Rendah,Mahal,Slow,tidak laris
1.144,83820-77A00-000,"WEATHERSTRIP,FR DR OUT,L",Dikit,Rendah,Mahal,Slow,tidak laris
1.145,77831-57L00-0PG,EMBLEM,Sedang,Rendah,Murah,Slow,laris
1.146,36757-77R41-000,"WIRE,FR DOOR SUB",Sedang,Tinggi,Mahal,Slow,laris
1.147,96510-73RV2-000,PACK ASSY BATTERY (12V 10AH),Dikit,Rendah,Mahal,Slow,tidak laris
1.148,09920M36210-000,PLIER,Sedang,Rendah,Murah,Slow,laris
1.149,09925-57620-000,RUBBER BOOT INSTALLER,Banyak,Rendah,Murah,Fast,laris
1.15,09944-66040-000,"INSTALLER, DRIVE SHAFT INR SEAL",Sedang,Rendah,Mahal,Slow,tidak laris
