no,part_no,Sparepart,Stok,Jumlah,Harga,Kategori,Klasifikasi
733.0,77541-65J11-5PK,"MOLDING,ROOF DRIP FRT,R (BLACK)",Banyak,Tinggi,Murah,Slow,laris
734.0,77543-65J00-5PK,"MOLDING,ROOF DRIP REAR,R (BLACK)",Banyak,Tinggi,Mahal,Slow,tidak laris
735.0,35320-65J41-000,"UNIT,HEADLAMP LH",Sedang,Tinggi,Mahal,Critical,laris
736.0,11400-65892-000,"GASKET SET,ENGINE",Sedang,Tinggi,Mahal,Critical,laris
676.0,46911-65J00-000,"RING SET,PISTON,OS:0.50",Banyak,Rendah,Mahal,Critical,tidak laris
738.0,12300-85860-0AA,"BEARING SET,CRANKSHAFT(US)",Banyak,Tinggi,Murah,Critical,laris
621.0,13421-65J00-000,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,laris
920.0,11320-78K00-000,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,laris
741.0,12300-85860-0DA,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,laris
742.0,12300-85860-0EA,"BEARING SET,CRANKSHAFT(US)",Sedang,Tinggi,Murah,Critical,laris
743.0,37145-63J01-000,"KEY,BLANK",Sedang,Rendah,Murah,Slow,laris
696.0,55192-50J00-000,"BOLT,14X60",Sedang,Tinggi,Murah,Critical,laris
745.0,09159-10117-000,NUT,Banyak,Tinggi,Murah,Fast,laris
746.0,09159-14028-000,NUT,Banyak,Tinggi,Murah,Fast,laris
747.0,09159-14030-000,NUT,Banyak,Tinggi,Murah,Fast,laris
915.0,46331-65J01-000,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,laris
614.0,12340-85FC0-0D0,"BEARING SET,CRANKSHAFT(STD)",Banyak,Tinggi,Murah,Critical,laris
750.0,12340-85FC0-C0D,"BEARING SET,CRANKSHAFT(STD)",Sedang,Tinggi,Murah,Critical,laris
751.0,12340-85FC0-D0E,"BEARING SET,CRANKSHAFT(STD)",Banyak,Tinggi,Murah,Critical,laris
752.0,17700-65J00-000,RADIATOR ASSY (M/T),Dikit,Rendah,Mahal,Critical,laris
